id;partenaire;non;prenon;adresse_professionnelle;telephone_professionnelle;email_professionnelle;demande_stand;taille_stand;autres
1;sky AI;RAM;Ghana a;transmitting maroon ROI;emulation PCI Mouse;Peso;NON;Mouse Plastic;Awesome Kids
2;Peso Tuvalu;USB;tan;bandwidth-monitored invoice white;Industrial Investment;Movies;OUI;Account;monitor
3;purple;Gorgeous cyan support;Pants;Rubber c;Bhoutan;Kids Chair;OUI;functionalities Loan Agent;Picardie Dinar
4;quantifying;a;Cotton mobile;Vaneau;b;Toys;NON;Estonie;collaborative
5;Stagiaire Handcrafted parsing;Triple-buffered SMS payment;leverage;wireless Metal;Dollar Riyal;Tasty Licensed visionary;NON;Buckinghamshire Executif Baby;b product
6;payment support;Pants Wooden a;Érythrée Dinar a;c Plastic;deposit;redundant;OUI;generating;d'Assas SMS reboot
7;calculating c;a;Borders;Unbranded;Tunisie;customized;OUI;hacking;Virtual
8;disintermediate Loan Bûcherie;Borders Berkshire;b defect;Keyboard Laffitte;Panoramas;d'Azur;OUI;Colon;cross-platform transmitter Bourgogne
9;Buckinghamshire b Checking;back-end Technicien Rupee;ROI Hat;Bacon;Assistant;Naira;NON;Bretagne Fish;circuit Tuna
10;Re-contextualized;Steel deposit;Home Gorgeous;Ingenieur capacitor;Cordoba system;Enhanced;NON;Administrateur;Concrete
